,0,1,2,3,4
0,Z52L6jGdSkY13_437358,0.8793103448275862,0.34317343173431736,0.4449760765550239,0.3875
1,oopO9qXFlws01_436887,0.7983182730923695,0.23868312757201646,0.2111010009099181,0.22404635441815549
2,6mVcTFd5TzI28_436006,1.0,0.0,0.0,1.0
3,Xe9CoVqpv9c01_437175,0.628858024691358,0.11794258373205742,0.753822629969419,0.2039718659495242
4,3p_-1RjvCmw02_435955,0.4567452487278014,0.02848041971144838,0.7676767676767676,0.05492321589882566
5,ALFF5620ljk02_436101,0.7863468634686347,0.10371819960861056,0.3045977011494253,0.15474452554744525
6,bSZkOI7eF8k20_436238,0.5288705801579128,0.12003755364806867,0.7483277591973244,0.20688858067498844
7,1XIS9UOwC_Y06_435927,0.7900990099009901,0.36910994764397903,0.32790697674418606,0.3472906403940887
8,Normal_Videos_903_x264_1,1.0,0.0,0.0,1.0
9,NCmlbDaj-uE12_436762,0.5564516129032258,0.25,1.0,0.4
10,6mVcTFd5TzI04_435981,0.7857142857142857,0.0,0.0,0.0
11,Normal_Videos_902_x264_5,1.0,0.0,0.0,1.0
12,651RQwxB3WA13_436052,0.16883116883116883,0.0,0.0,0.0
13,Normal_Videos_909_x264_0,1.0,0.0,0.0,1.0
14,3p_-1RjvCmw01_435954,0.37332548211394084,0.015722543352601155,1.0,0.030958342818119735
15,ieFXAiS97A014_436541,0.7237113402061855,0.2903225806451613,0.6521739130434783,0.4017857142857143
16,Normal_Videos_941_x264_6,1.0,0.0,0.0,1.0
17,1XIS9UOwC_Y02_435923,0.7663636363636364,0.32432432432432434,0.7714285714285715,0.45665961945031713
18,pA6q7Q2EQrw09_436899,0.6954773869346733,0.47301136363636365,0.3823191733639495,0.4228571428571429
19,xKT7khciy-c15_437194,0.6469298245614035,0.8518518518518519,0.1820580474934037,0.3
20,Normal_Videos_914_x264_3,1.0,0.0,0.0,1.0
21,ieFXAiS97A008_436535,0.619453044375645,0.07142857142857142,0.7096774193548387,0.12979351032448377
22,Normal_Videos_908_x264_14,1.0,0.0,0.0,1.0
23,Normal_Videos_915_x264_2,1.0,0.0,0.0,1.0
24,ieFXAiS97A011_436538,0.6242496998799519,0.16573033707865167,0.7866666666666666,0.2737819025522042
25,Normal_Videos_896_x264_10,1.0,0.0,0.0,1.0
26,wScVipt0pWk13_437163,0.48513379583746286,0.09056047197640119,0.9002932551319648,0.16456714017689628
27,b46xvHwxpcY18_436172,1.0,0.0,0.0,1.0
28,Normal_Videos_906_x264_12,1.0,0.0,0.0,1.0
29,ir8j5bGBTiE01_436549,0.8016230838593328,0.13861386138613863,0.3783783783783784,0.2028985507246377
30,mg6PLF8sHWw03_436649,0.5895663956639566,0.5267507002801121,0.5840062111801242,0.5539027982326952
31,IAhGJNVqs1M14_436525,0.3777544596012592,0.0,0.0,0.0
32,IuHk11-Yzn006_436557,0.8947368421052632,1.0,0.2413793103448276,0.3888888888888889
33,nkFprOkNnRE40_436822,0.908256880733945,0.4,0.10526315789473684,0.16666666666666666
34,Normal_Videos_877_x264_11,1.0,0.0,0.0,1.0
35,Normal_Videos_907_x264_9,1.0,0.0,0.0,1.0
36,7YEUfIVVk9Y05_436017,0.5152253349573691,0.0,0.0,0.0
37,Normal_Videos_911_x264_4,1.0,0.0,0.0,1.0
38,nsHYg3ENgk407_436857,0.7781908302354399,0.2623604465709729,0.6882845188284519,0.37990762124711314
39,xKT7khciy-c17_437196,0.8689809630459127,0.47863247863247865,0.5,0.4890829694323144
40,BSNh9UoKY5403_436212,0.8088874039425326,0.6438026474127557,0.6596794081381011,0.6516443361753959
41,Normal_Videos_913_x264_13,1.0,0.0,0.0,1.0
42,wScVipt0pWk08_437158,0.7418111753371869,0.5307692307692308,0.92,0.6731707317073171
43,rQy2l6gxB8c03_436980,0.8424861643252448,0.22384428223844283,0.1318051575931232,0.1659152389540126
44,Normal_Videos_872_x264_8,1.0,0.0,0.0,1.0
45,tDN-mwNSJc804_437028,0.5784800208931836,0.19050279329608938,0.6739130434782609,0.2970383275261324
46,Normal_Videos_831_x264_7,1.0,0.0,0.0,1.0
47,bSZkOI7eF8k21_436239,0.5030838069899625,0.04660810151293314,0.4860050890585242,0.08505900690269427
48,NCmlbDaj-uE07_436756,0.8919753086419753,0.0,0.0,0.0
49,mOwuW8t6-GQ03_436715,0.8042940994748223,0.051643192488262914,0.5454545454545454,0.0943531093638313
50,hZm7dC8qBO016_436502,0.8466200466200466,0.13138686131386862,0.28346456692913385,0.17955112219451372
51,Normal_Videos_875_x264_16,1.0,0.0,0.0,1.0
52,HSDqCUHuz8Q04_436427,0.5803615046409379,0.2619047619047619,0.18935837245696402,0.2198001816530427
53,bXaAw1730zE01_436262,0.9227742252828333,0.32,0.46601941747572817,0.3794466403162055
54,bPQ4GUk8ens03_436205,0.6550859054280067,0.05903361344537815,0.8289085545722714,0.11021768974308688
55,nSK7cehJiCE08_436868,0.8246007984031936,0.015706806282722512,0.018018018018018018,0.016783216783216783
56,UcJKeuDYOzc03_437064,0.6462242562929061,0.04218362282878412,0.9714285714285714,0.08085612366230678
57,Normal_Videos_908_x264_14-checkpoint,1.0,0.0,0.0,1.0
