,0,1,2,3,4,5
0,Z52L6jGdSkY13_437358,0.8793103448275862,0.34317343173431736,0.4449760765550239,0.3875,0.920071845532106
1,oopO9qXFlws01_436887,0.7983182730923695,0.23868312757201646,0.2111010009099181,0.22404635441815549,0.892269617120396
2,6mVcTFd5TzI28_436006,1.0,0.0,0.0,1.0,1.0
3,Xe9CoVqpv9c01_437175,0.628858024691358,0.11794258373205742,0.753822629969419,0.2039718659495242,0.6204447189623225
4,3p_-1RjvCmw02_435955,0.4567452487278014,0.02848041971144838,0.7676767676767676,0.05492321589882566,0.4502173682536316
5,ALFF5620ljk02_436101,0.7863468634686347,0.10371819960861056,0.3045977011494253,0.15474452554744525,0.8194006309148265
6,bSZkOI7eF8k20_436238,0.5288705801579128,0.12003755364806867,0.7483277591973244,0.20688858067498844,0.5092377889146533
7,1XIS9UOwC_Y06_435927,0.7900990099009901,0.36910994764397903,0.32790697674418606,0.3472906403940887,0.8849642004773269
8,NCmlbDaj-uE12_436762,0.5564516129032258,0.25,1.0,0.4,0.4794952681388013
9,6mVcTFd5TzI04_435981,0.7857142857142857,0.0,0.0,0.0,1.0
10,651RQwxB3WA13_436052,0.16883116883116883,0.0,0.0,0.0,1.0
11,3p_-1RjvCmw01_435954,0.37332548211394084,0.015722543352601155,1.0,0.030958342818119735,0.36698884758364314
12,ieFXAiS97A014_436541,0.7237113402061855,0.2903225806451613,0.6521739130434783,0.4017857142857143,0.7355769230769231
13,1XIS9UOwC_Y02_435923,0.7663636363636364,0.32432432432432434,0.7714285714285715,0.45665961945031713,0.765625
14,pA6q7Q2EQrw09_436899,0.6954773869346733,0.47301136363636365,0.3823191733639495,0.4228571428571429,0.8245033112582781
15,xKT7khciy-c15_437194,0.6469298245614035,0.8518518518518519,0.1820580474934037,0.3,0.9774859287054409
16,ieFXAiS97A008_436535,0.619453044375645,0.07142857142857142,0.7096774193548387,0.12979351032448377,0.6156947057242677
17,ieFXAiS97A011_436538,0.6242496998799519,0.16573033707865167,0.7866666666666666,0.2737819025522042,0.6081794195250659
18,wScVipt0pWk13_437163,0.48513379583746286,0.09056047197640119,0.9002932551319648,0.16456714017689628,0.46035357955539996
19,b46xvHwxpcY18_436172,1.0,0.0,0.0,1.0,1.0
20,ir8j5bGBTiE01_436549,0.8016230838593328,0.13861386138613863,0.3783783783783784,0.2028985507246377,0.8318840579710145
21,mg6PLF8sHWw03_436649,0.5895663956639566,0.5267507002801121,0.5840062111801242,0.5539027982326952,0.5938701923076923
22,IAhGJNVqs1M14_436525,0.3777544596012592,0.0,0.0,0.0,0.3777544596012592
23,IuHk11-Yzn006_436557,0.8947368421052632,1.0,0.2413793103448276,0.3888888888888889,1.0
24,nkFprOkNnRE40_436822,0.908256880733945,0.4,0.10526315789473684,0.16666666666666666,0.9849246231155779
25,7YEUfIVVk9Y05_436017,0.5152253349573691,0.0,0.0,0.0,0.5152253349573691
26,nsHYg3ENgk407_436857,0.7781908302354399,0.2623604465709729,0.6882845188284519,0.37990762124711314,0.788038496791934
27,xKT7khciy-c17_437196,0.8689809630459127,0.47863247863247865,0.5,0.4890829694323144,0.9218950064020487
28,BSNh9UoKY5403_436212,0.8088874039425326,0.6438026474127557,0.6596794081381011,0.6516443361753959,0.8643446379468378
29,wScVipt0pWk08_437158,0.7418111753371869,0.5307692307692308,0.92,0.6731707317073171,0.6693766937669376
30,rQy2l6gxB8c03_436980,0.8424861643252448,0.22384428223844283,0.1318051575931232,0.1659152389540126,0.9383515315489419
31,tDN-mwNSJc804_437028,0.5784800208931836,0.19050279329608938,0.6739130434782609,0.2970383275261324,0.563948239542582
32,bSZkOI7eF8k21_436239,0.5030838069899625,0.04660810151293314,0.4860050890585242,0.08505900690269427,0.5039360081259523
33,NCmlbDaj-uE07_436756,0.8919753086419753,0.0,0.0,0.0,1.0
34,mOwuW8t6-GQ03_436715,0.8042940994748223,0.051643192488262914,0.5454545454545454,0.0943531093638313,0.8092239886667716
35,hZm7dC8qBO016_436502,0.8466200466200466,0.13138686131386862,0.28346456692913385,0.17955112219451372,0.8820614469772051
36,HSDqCUHuz8Q04_436427,0.5803615046409379,0.2619047619047619,0.18935837245696402,0.2198001816530427,0.7578125
37,bXaAw1730zE01_436262,0.9227742252828333,0.32,0.46601941747572817,0.3794466403162055,0.9471502590673575
38,bPQ4GUk8ens03_436205,0.6550859054280067,0.05903361344537815,0.8289085545722714,0.11021768974308688,0.6504877097151776
39,nSK7cehJiCE08_436868,0.8246007984031936,0.015706806282722512,0.018018018018018018,0.016783216783216783,0.8976870748299319
40,UcJKeuDYOzc03_437064,0.6462242562929061,0.04218362282878412,0.9714285714285714,0.08085612366230678,0.6409302325581395
